ticker,quarter,fiscal_year,event_date,transcript_id,total_words,positive_count,negative_count,uncertainty_count,positive_ratio,negative_ratio,uncertainty_ratio,net_sentiment,sentiment_polarity
TMO,-1,2017,2017-05-16 22:12:07,TMO_119058,3038,138,36,37,0.04542462146148782,0.01184990125082291,0.012179065174456879,0.033574720210664905,0.5862068965517241
TMO,2,2017,2017-07-26 16:46:24,TMO_120185,4304,224,74,39,0.05204460966542751,0.017193308550185873,0.009061338289962825,0.03485130111524164,0.5033557046979866
TMO,3,2017,2017-10-25 16:18:45,TMO_124497,4345,232,67,43,0.053394706559263524,0.015420023014959724,0.009896432681242807,0.0379746835443038,0.5518394648829431
TMO,4,2017,2018-01-31 17:36:11,TMO_128654,4569,229,57,56,0.050120376449989054,0.01247537754432042,0.012256511271613044,0.037644998905668636,0.6013986013986014
TMO,1,2018,2018-04-25 16:40:14,TMO_132580,4504,237,63,43,0.052619893428063946,0.013987566607460035,0.009547069271758437,0.03863232682060391,0.58
TMO,2,2018,2018-07-25 16:48:12,TMO_136668,4466,264,47,41,0.059113300492610835,0.01052395879982087,0.009180474697716077,0.048589341692789965,0.6977491961414791
TMO,3,2018,2018-10-24 17:46:17,TMO_141015,4601,290,56,51,0.06302977613562269,0.012171267115844382,0.01108454683764399,0.05085850901977831,0.6763005780346821
TMO,4,2018,2019-01-30 20:28:11,TMO_145505,4689,247,61,80,0.0526764768607379,0.013009170398805716,0.017061207080400938,0.03966730646193218,0.6038961038961039
TMO,-1,2019,2019-03-13 18:45:23,TMO_148756,1651,93,35,20,0.056329497274379164,0.021199273167777106,0.012113870381586917,0.03513022410660206,0.453125
TMO,1,2019,2019-04-24 17:17:03,TMO_149716,4388,211,73,49,0.04808568824065634,0.016636280765724702,0.011166818596171376,0.031449407474931634,0.4859154929577465
TMO,2,2019,2019-07-24 19:20:40,TMO_154071,1864,91,57,26,0.04881974248927039,0.0305793991416309,0.013948497854077254,0.018240343347639486,0.22972972972972974
TMO,3,2019,2019-10-23 19:59:10,TMO_158480,1280,74,45,15,0.0578125,0.03515625,0.01171875,0.022656250000000003,0.24369747899159663
TMO,4,2019,2020-01-30 18:45:12,TMO_162926,1720,77,40,21,0.044767441860465114,0.023255813953488372,0.012209302325581395,0.021511627906976742,0.3162393162393162
TMO,1,2020,2020-04-22 18:19:10,TMO_166897,1145,35,37,20,0.03056768558951965,0.032314410480349345,0.017467248908296942,-0.0017467248908296963,-0.027777777777777776
TMO,2,2020,2020-07-22 18:19:07,TMO_171222,4716,148,92,60,0.031382527565733676,0.019508057675996608,0.01272264631043257,0.011874469889737067,0.23333333333333334
TMO,3,2020,2020-10-21 16:02:22,TMO_175589,4491,190,49,50,0.04230683589401024,0.010910710309507904,0.0111333778668448,0.03139612558450234,0.5899581589958159
