Ticker,Event_Date,Event_Type
BAC,2016-10-18,Earnings Call
BAC,2017-01-13,Earnings Call
BAC,2017-04-18,Earnings Call
BAC,2017-06-14,Earnings Call
BAC,2017-07-18,Earnings Call
BAC,2017-10-13,Earnings Call
BAC,2017-12-06,Earnings Call
BAC,2018-01-17,Earnings Call
BAC,2018-04-16,Earnings Call
BAC,2018-06-12,Earnings Call
BAC,2018-07-16,Earnings Call
BAC,2018-10-15,Earnings Call
BAC,2018-12-04,Earnings Call
BAC,2019-01-16,Earnings Call
BAC,2019-04-16,Earnings Call
BAC,2019-05-28,Earnings Call
BAC,2019-05-30,Earnings Call
BAC,2019-06-12,Earnings Call
BAC,2019-07-17,Earnings Call
BAC,2019-10-16,Earnings Call
BAC,2020-01-15,Earnings Call
BAC,2020-04-15,Earnings Call
BAC,2020-07-16,Earnings Call
BAC,2020-10-14,Earnings Call
BKNG,2006-02-17,Earnings Call
BKNG,2006-05-04,Earnings Call
BKNG,2006-08-07,Earnings Call
BKNG,2006-11-09,Earnings Call
BKNG,2007-02-13,Earnings Call
BKNG,2007-08-08,Earnings Call
BKNG,2007-11-13,Earnings Call
BKNG,2008-02-15,Earnings Call
BKNG,2008-05-09,Earnings Call
BKNG,2008-08-06,Earnings Call
BKNG,2008-11-07,Earnings Call
BKNG,2009-02-19,Earnings Call
BKNG,2009-05-11,Earnings Call
BKNG,2009-08-10,Earnings Call
BKNG,2009-11-10,Earnings Call
BKNG,2010-02-18,Earnings Call
BKNG,2010-11-09,Earnings Call
BKNG,2011-02-24,Earnings Call
BKNG,2011-05-06,Earnings Call
BKNG,2011-08-05,Earnings Call
BKNG,2011-11-08,Earnings Call
BKNG,2012-02-28,Earnings Call
BKNG,2012-05-10,Earnings Call
BKNG,2012-08-08,Earnings Call
BKNG,2012-11-02,Earnings Call
BKNG,2013-02-26,Earnings Call
BKNG,2013-05-09,Earnings Call
BKNG,2013-08-08,Earnings Call
BKNG,2013-11-08,Earnings Call
BKNG,2014-02-21,Earnings Call
