ticker,market_cap,stock_price,date,log_market_cap
GM,51250488386.18916,54.93902279081799,2021-07-01,24.659990984406143
GM,46898723491.12057,50.27405825528231,2021-08-01,24.571256294354903
GM,45698520678.58233,48.98747598557245,2021-09-01,24.54533176405092
GM,50956741047.38554,54.62413424537296,2021-10-01,24.6542428949759
GM,54474821051.09796,58.395412990025115,2021-11-01,24.72100443279874
GM,52627528649.246315,56.41516962918368,2021-12-01,24.68650517813655
GM,52104005588.9961,55.85396823883057,2022-01-01,24.67650766545667
GM,44693848249.412155,47.9104965611508,2022-02-01,24.523101706039355
GM,38459946297.405334,41.22793621487088,2022-03-01,24.372883180782758
GOOG,23740858052.162895,4.3907634644281295,2004-11-01,23.8904633692053
GOOG,24312629374.352367,4.496509963815862,2004-12-01,23.91426177962104
GOOG,25794099130.916595,4.770501041412354,2005-01-01,23.973411586858578
GOOG,26084036350.82747,4.824123608438592,2005-02-01,23.984589330082724
GOOG,24230795566.298744,4.481375174088911,2005-03-01,23.91089020517304
GOOG,26645950121.01673,4.928046998523531,2005-04-01,24.005903010570073
GOOG,32062388143.244244,5.929792517707462,2005-05-01,24.190949471161584
GOOG,38460614601.98056,7.113115332343361,2005-06-01,24.372900557270068
GOOG,39887251292.46712,7.376965284347534,2005-07-01,24.40932259330644
GOOG,38377421256.81172,7.097729102424953,2005-08-01,24.370735135503434
GOOG,40693527425.834114,7.526082379477365,2005-09-01,24.429334885441854
GOOG,43132006637.07369,7.977067992800758,2005-10-01,24.487531171844406
GOOG,53386294460.56911,9.873551777430944,2005-11-01,24.70081989192847
GOOG,56036871653.01187,10.36376394544329,2005-12-01,24.74927573339186
GOOG,59616166144.1803,11.025738143920899,2006-01-01,24.811192618267576
GOOG,49489383419.036865,9.152835845947266,2006-02-01,24.625024007134613
GOOG,48000389131.172844,8.877453140590502,2006-03-01,24.594474954720877
GOOG,55344822365.007904,10.235772584614,2006-04-01,24.736848948184626
GOOG,51334524437.904366,9.494086265563965,2006-05-01,24.66162935375854
GOOG,52645079257.748344,9.736467404799027,2006-06-01,24.686838609767314
GOOG,53974716589.21242,9.982377767562866,2006-07-01,24.711781562554663
GOOG,50437461760.93558,9.328178613082223,2006-08-01,24.644000024828795
GOOG,53108989203.071594,9.822265434265137,2006-09-01,24.695612039060112
GOOG,58923656501.50992,10.897661642594771,2006-10-01,24.799508485364594
GOOG,64955713401.158646,12.013263066609701,2006-11-01,24.896971542339855
GOOG,63332544798.94639,11.713065433502198,2006-12-01,24.87166516981833
GOOG,65617615357.255936,12.135678815841676,2007-01-01,24.907110023637028
GOOG,62492614748.30226,11.557724199796978,2007-02-01,24.858314222679684
GOOG,60579176919.67705,11.203842596574264,2007-03-01,24.827217055785606
GOOG,63198924488.83057,11.688352966308594,2007-04-01,24.86955312037263
GOOG,63267528713.35637,11.70104100487449,2007-05-01,24.870638059967565
GOOG,68886577406.29288,12.740258443923224,2007-06-01,24.95572718330677
GOOG,71221810009.7747,13.17214906783331,2007-07-01,24.989064928819843
GOOG,68192322006.681694,12.611859072809635,2007-08-01,24.945597814910972
GOOG,72284739355.43863,13.368733004519815,2007-09-01,25.003878869909883
GOOG,84986643747.61996,15.717892315076744,2007-10-01,25.1657599487092
GOOG,90467165933.2457,16.731489908127557,2007-11-01,25.228252814454326
GOOG,93012892178.15399,17.202310371398926,2007-12-01,25.25600394606358
GOOG,81832651341.93784,15.134575798397972,2008-01-01,25.127942161571077
GOOG,67385117793.130875,12.462570333480835,2008-02-01,24.933690026227605
GOOG,58896829440.40298,10.892700099945069,2008-03-01,24.799053096620337
GOOG,66553461061.9545,12.308759212493896,2008-04-01,24.921271387376684
GOOG,77031869654.42839,14.24669311160133,2008-05-01,25.06748506478654
GOOG,74409890996.52426,13.761770112173897,2008-06-01,25.032854713450924
GOOG,68218710187.04501,12.61673944646662,2008-07-01,24.945984707089238
GOOG,64992398336.59217,12.020047778174991,2008-08-01,24.897536151335206
GOOG,57798296617.91666,10.689531462533134,2008-09-01,24.780225141912226
GOOG,48143216581.800705,8.90386842644733,2008-10-01,24.597446084306405
GOOG,40729212888.69256,7.532682243146394,2008-11-01,24.430211433320384
GOOG,40065673344.50375,7.409963629462502,2008-12-01,24.413785778337573
GOOG,42635979232.23972,7.885329985618592,2009-01-01,24.475964316678702
GOOG,46759657916.21961,8.647985558760794,2009-02-01,24.568286657788267
GOOG,43959764022.35031,8.130157947540283,2009-03-01,24.506540598459015
GOOG,50515851730.66457,9.342676480611166,2009-04-01,24.645553019629514
GOOG,53505639321.61331,9.89562406539917,2009-05-01,24.703052893173975
GOOG,56683260951.99585,10.48331069946289,2009-06-01,24.760744782788542
GOOG,57152315788.74588,10.57006025314331,2009-07-01,24.768985747604166
GOOG,61249046898.887276,11.327731995355515,2009-08-01,24.838214125415682
GOOG,64291971931.27586,11.890507107689267,2009-09-01,24.8867006070713
GOOG,70919889754.38205,13.116310293024236,2009-10-01,24.98481676364447
GOOG,75828331483.55484,14.0241042137146,2009-11-01,25.051737826035335
GOOG,80158036352.37433,14.824863390489059,2009-12-01,25.107265977380802
GOOG,77390730116.44263,14.313062718040065,2010-01-01,25.072132844432147
GOOG,71544583485.55315,13.231844550684878,2010-02-01,24.993586637575298
GOOG,75040512915.52834,13.878400761148203,2010-03-01,25.041293976849275
GOOG,74509825769.83316,13.780252592904228,2010-04-01,25.034196843163226
GOOG,66520728007.507324,12.302705383300781,2010-05-01,24.92077943540108
GOOG,64800481768.781494,11.984553683887828,2010-06-01,24.89457887498042
